"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"202100000033";"4";"PRADO (AVENUE DU)";"0";"N/A";"1";"6";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000034";"4";"GRANDS CHAMPS RUE DES";"0";"N/A";"2";"1";"0";"1";"0";"0";"1";"";" -1";"1";"0";"4";"50"
"202100000035";"4";"LASHERMES (RUE)";" -1";"N/A";"1";"1";" -1";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"8";"50"
"202100000036";"3";"902";"0";"D";"2";"2";"0";"2";"91";"500";"3";"";" -1";"2";"0";"3";"80"
"202100000037";"4";"N/A";" -1";"N/A";"2";"2";"0";"2";"(1)";"(1)";"1";"";" -1";"1";"5";"1";"50"
"202100000038";"4";"N/A";" -1";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000039";"4";"PISANI (boulevard Edgard)";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000040";"4";"CHARLES DE GAULLE (AV)";"0";"N/A";" -1";"4";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000041";"3";"406";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000042";"3";"N/A";" -1";"N/A";"2";"2";"0";"1";"5";"793";"1";"";" -1";"1";"0";"1";"70"
"202100000043";"3";"D6";"0";"N/A";"2";"2";"0";"1";"28";"550";"3";"";" -1";"2";"0";"1";"80"
"202100000044";"2";"N/A";" -1";"N/A";"3";"4";"0";"1";"7";"190";"1";"";" -1";"1";"8";"1";"70"
"202100000045";"3";"JEAN JAURES (AVE) 55 A 129";"0";"N/A";"2";"7";"3";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000046";"3";"N/A";" -1";"N/A";"2";"2";"2";"2";"43";"930";"3";"";" -1";"1";" -1";"1";"50"
"202100000047";"4";"SAINT HONORE";"0";"N/A";"2";"0";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000048";"3";"184";" -1";"N/A";"2";"1";"0";"1";"3";"250";"1";"";"3";"1";"0";"1";"80"
"202100000049";"3";"LATTRE DE TASSIGNY AVENUE DE L'";"0";"N/A";"1";"2";"2";"1";"18";"40";"1";"";" -1";"1";"2";"1";"50"
"202100000050";"3";"PASTEUR(PLACE)";"0";"N/A";"2";"0";"0";"1";"0";"320";"1";"";" -1";"1";"0";"1";"50"
"202100000051";"4";"SQUARE DE L HERACLES";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"2";"1";"50"
"202100000052";"4";"BOBILLOT (RUE DU SERGENT)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"9";"1";"50"
"202100000053";"3";"BRUYERES (RTE DES...NÂ°97et+ ET 66 et+ )";" -1";"N/A";"3";"2";"0";"3";"60";"165";"1";"";" -1";"1";"9";"8";"50"
"202100000054";"3";"RECHERCHANT (RUE ADRIEN) (2)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"9";"1";"50"
"202100000055";"4";"HUBERT DE LISLE(BOULEVARD)";"0";"N/A";"1";"1";"2";"1";"0";"0";"1";"";" -1";"1";"0";"5";"50"
"202100000056";"9";"ANCIENNE RN 1";"0";"N/A";"2";"2";"0";"1";"30";"0";"1";"";" -1";"1";"9";"8";"70"
"202100000057";"7";"RIVE DE GIER (DE) (RTE)";"0";"N/A";"2";"2";"0";"1";"4";"900";"3";"";" -1";"2";"0";"1";"80"
"202100000058";"4";"NOTRE DAME DU THIL (RUE)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202100000059";"3";"N/A";" -1";"N/A";"2";"2";"0";"1";"0";"600";"3";"";" -1";"1";"0";"8";"80"
"202100000060";"7";"21";" -1";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"1";"5";"1";"80"
"202100000061";"4";"BERTHO ( RUE HENRI )";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"5";"1";"70"
"202100000062";"4";"LILAS ( AVENUE DES )";"0";"N/A";"2";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202100000063";"3";"675";" -1";"N/A";"2";"1";"0";"2";"74";"(1)";"1";"";" -1";"1";"0";"1";"80"
"202100000064";"1";"N/A";" -1";"N/A";"2";" -1";" -1";"1";"92";"600";"1";"";" -1";"1";"0";"1";" -1"
"202100000065";"9";"LILATTES";"0";"N/A";" -1";"1";"3";"1";"0";"0";"1";"";" -1";"1";"6";"6";"5"
"202100000066";"4";"DIEDERICHS";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"9";"1";"50"
"202100000067";"3";"ALBERT THOMAS(RUE)";"0";"N/A";"2";"2";"0";"1";"1";"750";"1";"";" -1";"1";"0";"1";"50"
"202100000068";"3";"14";"0";"A";"2";"2";"0";"2";"1";"870";"3";"";" -1";"2";"0";"3";"80"
"202100000069";"4";"N/A";"0";"N/A";"2";"2";"1";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202100000070";"4";"N/A";" -1";"N/A";"2";"2";" -1";"1";"(1)";"(1)";"1";"";"5,5";"1";"0";"1";" -1"
"202100000071";"4";"DUPONT ALPHONSE (RUE)";"0";"N/A";"1";"0";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202100000072";"1";"N/A";" -1";"N/A";"1";"3";" -1";"1";"1";"600";"1";"";" -1";"1";"0";"1";"70"
"202100000073";"3";"LIBERATION (AV. DE LA)";"0";"N/A";"2";"2";"0";"1";"14";"780";"1";"";" -1";"1";"0";"4";"50"
"202100000074";"4";"ONZE NOVEMBRE 1918 (RD PT DU)";"0";"N/A";"1";"2";"0";"2";"(1)";"(1)";"3";"";" -1";"1";"2";"1";"50"
"202100000075";"1";"13";"0";"A";"3";"3";"0";"1";"74";"0";"1";"";" -1";"1";"0";"1";"130"
"202100000076";"4";"GAVOT (AVENUE DE)  CD11";"0";"N/A";"2";"2";"0";"2";"1";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000077";"6";"MITTERAND ( ESPLANADE FRANCOIS )";"0";"N/A";" -1";" -1";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202100000078";"4";"PICARDIE (AVENUE DE)";"0";"N/A";"2";"2";"0";"1";"1";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000079";"3";"ROCADE (RUE DE LA ........)";" -1";"N/A";"2";"2";" -1";"1";"65";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000080";"3";"BONDUELLE (RUE DU DOCTEUR)";"0";"N/A";"2";"2";"0";"2";"19";"825";"3";"";" -1";"2";"3";"8";"50"
"202100000081";"4";"DUMONT D'URVILLE. BOULEVARD";"0";"N/A";"2";"2";"0";"1";"0";"0";"3";"";" -1";"1";"0";"1";"50"
"202100000082";"4";"CARNOT (AVENUE)";"0";"N/A";" -1";"3";"0";"2";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000083";"4";"N/A";" -1";"N/A";"2";"3";"2";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000084";"3";"VICTOR GUICHARD (RUE)";"0";"N/A";"2";"2";"0";"1";"0";"600";"1";"";" -1";"1";"5";"1";"50"
"202100000085";"2";"RN7 ";"0";"N/A";"1";"1";"0";"1";"45";"575";"1";"";" -1";"1";"3";"1";"90"
"202100000086";"9";"COUVENT CHEMIN DE";"0";"N/A";" -1";"0";"0";"1";"1";"0";"2";"";" -1";"1";"0";"1";"50"
"202100000087";"4";"RADOLFZELL AVENUE DE";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000088";"3";"CD 41";"0";"N/A";"2";"2";"0";"2";"1";"0";"2";"";" -1";"2";"9";"1";"70"
"202100000089";"7";"AVENUE JULES VALLÃS";" -1";"N/A";"2";"2";" -1";"1";"(1)";"(1)";"1";"";" -1";"1";" -1";"1";"50"
"202100000090";"3";"ST LOUIS(PLACE)";"0";"N/A";"1";"2";"0";"1";"0";"0";"1";"";" -1";"1";"5";"1";"50"
"202100000091";"3";"GERE(RUE DE)";"0";"N/A";"2";"2";"0";"1";"0";"0";"2";"";" -1";"1";"0";"1";"50"
"202100000092";"3";"19";" -1";"N/A";" -1";" -1";" -1";"1";"14";"300";"1";"";" -1";"1";"5";"1";" -1"
"202100000093";"3";"MENDIG (Rue)";"0";"N/A";"2";"1";"0";"1";"0";"0";"1";"";" -1";"1";"6";"1";"50"
"202100000094";"2";"N RN5";"0";"N/A";"3";"2";"0";"1";"10";"0";"1";"";" -1";"1";"9";"1";"90"
"202100000095";"4";"RUE ROGER SALENGRO";"0";"N/A";"1";"2";"0";"1";"0";"0";"1";"";" -1";"2";"9";"8";"50"
"202100000096";"3";"MARECHAL JUINI(RUE)";"0";"N/A";"1";"1";"1";"1";"0";"0";"2";"";" -1";"2";"9";"5";"50"
"202100000097";"4";"PASCAL";"0";"N/A";"2";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"5";"1";"50"
"202100000098";"3";"9";" -1";"N/A";"2";"2";"0";"1";"8";"100";"1";"";" -1";"1";"0";"1";"70"
"202100000099";"2";"RD 925";"0";"N/A";"3";"2";"0";"1";"30";"223";"1";"";" -1";"2";"0";"1";"80"
"202100000100";"3";"SAINT DENIS (RUE DE)";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";"";" -1";"1";"0";"4";"50"
"202100000101";"4";"N/A";" -1";"N/A";" -1";"1";"1";"1";"(1)";"(1)";"1";"";" -1";"9";"6";"5";" -1"
"202100000102";"2";"311";" -1";"N/A";"2";"2";"0";"2";"(1)";"(1)";"3";"";" -1";"1";"0";"3";"60"
"202100000103";"4";"N/A";" -1";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000104";"3";"1205";" -1";"N/A";"2";"2";"0";"1";"41";"400";"1";"";" -1";"2";"0";"1";"80"
"202100000105";"3";"16";"0";"D";"2";"2";"0";"2";"24";"130";"2";"";" -1";"2";"0";"1";"70"
"202100000106";"4";"DEPORTES (ROUTE DES )";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";"";" -1";"7";"0";"1";"50"
"202100000107";"4";"N/A";" -1";"N/A";"2";" -1";"0";"1";"(1)";"(1)";"2";"";" -1";"1";"0";"1";" -1"
"202100000108";"4";"ANTHONY BAMBRIDGE (RUE)";"0";"N/A";"2";"2";"0";"2";"0";"0";"2";"";" -1";"1";"2";"1";"30"
"202100000109";"3";"977";" -1";"N/A";"2";"2";"0";"1";"14";"300";"1";"";" -1";"1";"0";"8";"80"
"202100000110";"4";"REPUBLIQUE (AVENUE DE LA)";"0";"N/A";"3";"4";"0";"2";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000111";"4";"VAURANNE BOULEVARD DE";"0";"N/A";"2";"4";"0";"1";"0";"0";"1";"";" -1";"1";"5";"1";"50"
"202100000112";"9";"N/A";" -1";"N/A";"2";"1";" -1";"2";"(1)";"(1)";"1";"";" -1";"6";"8";"8";" -1"
"202100000113";"3";"FREDERIC SOULIE RUE";"0";"N/A";" -1";"2";"0";"3";"0";"0";"2";"";" -1";"1";"0";"4";"50"
"202100000114";"4";"FLOQUET CHARLES (AVENUE)";"0";"N/A";"1";"1";"0";"2";"0";"0";"1";"";" -1";"1";"0";"1";"30"
"202100000115";"3";"955";"0";"N/A";"2";"2";"0";"1";"47";"400";"3";"";" -1";"2";"0";"1";"80"
"202100000116";"3";"LYON (AVENUE DE)";"0";"N/A";"2";"2";"0";"1";"3";"650";"1";"";" -1";"2";"0";"1";"50"
"202100000117";"4";"VACHET (RUE JULIEN)";"0";"N/A";"1";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000118";"4";"CHASSEURS (RUE DU 16 EME)";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"2";"9";"1";"50"
"202100000119";"4";"JEAN DE LA FONTAINE (PLACE)";"0";"N/A";"3";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"8";"30"
"202100000120";"3";"EMERY (AVENUE ANDRE)";"0";"N/A";"2";"3";"0";"1";"1";"240";"1";"";" -1";"2";"5";"1";"50"
"202100000121";"4";"PARIS (AVENUE DE)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000122";"7";"D.5";"0";"N/A";"2";"2";"0";"1";"1";"0";"1";"";" -1";"1";"0";"1";"80"
"202100000123";"2";"RN165 (VE)";"0";"N/A";"3";"2";"0";"1";"35";"800";"1";"";" -1";"1";"0";"1";"110"
"202100000124";"3";"SAINTE BEUVE (Bld)";"0";"N/A";"2";"2";"0";"2";"46";"700";"3";"";" -1";"1";"0";"1";"50"
"202100000125";"3";"RD 1005";"0";"N/A";"1";"1";"0";"1";"18";"150";"2";"";" -1";"2";"2";"1";"90"
"202100000126";"3";"342";"0";"N/A";"2";"2";"0";"2";"33";"434";"1";"";" -1";"1";"0";"1";"70"
"202100000127";"4";"BOURGET (AVENUE PAUL)";"0";"N/A";"4";"0";"3";"1";"0";"0";"1";"";" -1";"1";"4";"6";"40"
"202100000128";"2";"RN 1569 LA TRANSHUMANCE";"0";"N/A";"2";"1";"0";"1";"1";"0";"3";"";" -1";"1";"9";"1";"80"
"202100000129";"7";"CALAMEAU CHEMIN DE";"0";"N/A";"2";"2";"0";"1";"9";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000130";"4";"GARE (AVENUE DE LA)";"0";"N/A";"2";"2";"3";"1";"0";"1";"1";"";" -1";"1";"0";"1";"50"
"202100000131";"4";"VAUCRISES (AVENUE DES)";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"2";"0";"1";"50"
"202100000132";"4";"ARRAS (Bld d')";"0";"N/A";"3";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202100000133";"3";"AIGLON (Rue de l')";"0";"N/A";"2";"2";"0";"2";"10";"362";"1";"";" -1";"1";"5";"1";"50"
"202100000134";"4";"DE GAULLE (Ave Charles)";"0";"N/A";"2";"2";"0";"2";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000135";"4";"CANADIENS ( Rue des )";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"4";"50"
"202100000136";"4";"BILLIERES (AV ETIENNE) DU 1AU 78";"0";"N/A";"2";"3";"1";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"5";"5"
"202100000137";"4";"CRS GAMBETTA";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202100000138";"4";"ROBESPIERRE (RUE)";"0";"N/A";"2";"1";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000139";"4";"DELON (RUE ANDRE)";"0";"N/A";"1";"1";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"30"
"202100000140";"3";"POMPIDOU (AVENUE GEORGES)";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000141";"4";"BD DES LICES";"0";"N/A";" -1";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000142";"3";"N/A";" -1";"N/A";"2";"4";"0";"1";"32";"1100";"1";"";" -1";"1";"0";"1";"90"
"202100000143";"1";"AUTOROUTE A15";"0";"N/A";"3";"5";"0";"1";"10";"0";"1";"";" -1";"1";"0";"1";"110"
"202100000144";"1";"AUTOROUTE A115";"0";"N/A";"3";"4";"0";"2";"1";"0";"1";"";" -1";"1";"0";"1";"70"
"202100000145";"1";"AUTOROUTE A115";"0";"N/A";"3";"4";"0";"1";"5";"0";"1";"";" -1";"1";"0";"1";"90"
"202100000146";"2";"RN 184";"0";"N/A";"3";"4";"0";"2";"3";"0";"3";"";" -1";"2";"0";"1";"70"
"202100000147";"1";"AUTOROUTE A115";"0";"N/A";"3";"4";"0";"1";"10";"0";"1";"";" -1";"2";"0";"1";"90"
"202100000148";"1";"AUTOROUTE A1";"0";"N/A";"3";"6";"0";"1";"17";"200";"1";"";" -1";"1";"0";"1";"110"
"202100000149";"1";"AUTOROUTE A15";"0";"N/A";"3";"6";"0";"1";"10";"100";"2";"";" -1";"3";"0";"2";"110"
"202100000150";"4";"MASCAREIGNES (Avenue des)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000151";"3";"439";" -1";"N/A";"2";"2";"0";"2";"2";"800";"1";"";" -1";"1";"0";"1";"80"
"202100000152";"2";"JAURES (BOULEVARD JEAN)";"0";"N/A";"1";"3";"0";"4";"0";"0";"2";"";" -1";"1";"0";"1";"90"
"202100000153";"3";"765";"0";"D";"2";"2";"0";"1";"74";"400";"1";"";" -1";"1";"0";"1";"80"
"202100000154";"4";"BACCIOCCHI COMTE RUE";"0";"N/A";"1";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000155";"4";"LORETTO CHEMIN";"0";"N/A";"1";"1";"0";"2";"(1)";"(1)";"1";"";" -1";"2";"9";"1";"50"
"202100000156";"2";"ROUTE DU STILETTO";"0";"N/A";"2";"2";"0";"2";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000157";"2";"MEZZAVIA ROUTE DE";"0";"N/A";"2";"2";"0";"2";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202100000158";"4";"N/A";"0";"D";"2";"2";"0";"1";"(1)";"(1)";"4";"";" -1";"1";"0";"1";"80"
"202100000159";"4";"N/A";"0";"N/A";"2";"2";"0";"2";"(1)";"(1)";"1";"";" -1";"2";"0";"4";"50"
"202100000160";"7";"40";" -1";"F";"2";"2";"0";"1";"(1)";"(1)";"2";"";" -1";"1";"0";"1";"30"
"202100000161";"2";"7";"0";"N/A";"2";"2";"0";"2";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"70"
"202100000162";"4";"CHARLES DE GAULLE (RUE)";"0";"N/A";"2";"2";"2";"2";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000163";"4";"PLACE DE L'EGLISE";"0";"N/A";"2";" -1";"0";"1";"0";"100";"1";"";" -1";"1";"9";"8";"50"
"202100000164";"3";"DE GAULLE (AV DU GAL) APRES NÂ°26";"0";"N/A";"2";"2";"2";"1";"0";"0";"3";"";" -1";"1";"0";"1";"50"
"202100000165";"4";"CRAU AVENUE DE LA";"0";"N/A";"2";"2";"0";"1";"1";"0";"1";"";" -1";"1";"0";"1";"30"
"202100000166";"2";"RN 1589 LA TRANSHUMANCE";"0";"N/A";"2";"2";"3";"1";"0";"0";"1";"";" -1";"1";"0";"1";"80"
"202100000167";"7";"CD16 (LE DELA)";"0";"N/A";"2";"2";"0";"2";"38";"0";"3";"";" -1";"1";"0";"1";"80"
"202100000168";"4";"CALAMEAU CHEMIN DE";"0";"N/A";"2";"2";"0";"1";"1";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000169";"7";"D.51";"0";"N/A";" -1";"0";"0";"2";"1";"0";"2";"";" -1";"1";"0";"1";"80"
"202100000170";"7";"BELVAL CHEMIN DE";"0";"N/A";"2";"2";"0";"3";"1";"0";"4";"";" -1";"1";"0";"1";"80"
"202100000171";"4";"SEVERIERS (CHEMIN DES)";"0";"N/A";"3";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000172";"4";"GRAILLE (AVENUE JEAN)";"0";"N/A";"1";"1";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000173";"4";"CLEMENCEAU (BOULEVARD GEORGES)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202100000174";"1";"61";"0";"A";"1";"1";"0";"1";"264";"0";"3";"";" -1";"1";"3";"8";"70"
"202100000175";"3";"626";" -1";"N/A";"2";"2";"0";"2";"11";"300";"2";"";" -1";"1";"0";"1";"80"
"202100000176";"7";"SAINT JEAN (AVENUE DE)";"0";"N/A";" -1";"2";"0";"1";"0";"0";"1";"";" -1";"1";"6";"1";"30"
"202100000177";"3";"PARIS RUE DE";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";"";" -1";"1";"0";"1";"30"
"202100000178";"4";"SOISSONS (AVENUE DE) 01";"0";"N/A";"2";"1";"0";"2";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000179";"4";"N/A";" -1";"N/A";"3";"3";"3";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000180";"4";"N/A";" -1";"N/A";"2";" -1";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000181";"3";"N/A";" -1";"N/A";"2";"2";" -1";"1";"30";"105";"1";"";" -1";"1";"2";"1";"30"
"202100000182";"1";"43";" -1";"N/A";"3";"4";"0";"1";"69";"10";"1";"";" -1";"1";"0";"1";"130"
"202100000183";"3";"201";" -1";"N/A";"2";"2";"2";"1";"3";"90";"1";"";" -1";"1";" -1";"1";"70"
"202100000184";"3";"974";" -1";"N/A";"2";"3";"0";"2";"18";"200";"1";"";" -1";"1";"0";"3";"50"
"202100000185";"4";"N/A";" -1";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";"4";"1";"0";"1";"50"
"202100000186";"3";"LOGE (RUE DE LA)";"0";"N/A";"2";"2";"0";"1";"1";"0";"1";"";" -1";"1";"0";"1";"70"
"202100000187";"7";"GAFFAREL (RUE)";"0";"N/A";"2";"4";"0";"2";"1";"0";"2";"";" -1";"2";"3";"1";"50"
"202100000188";"3";"918";"0";"D";"2";"2";"0";"1";"6";"167";"2";"";" -1";"1";"0";"3";"90"
"202100000189";"7";"JEAN MOULIN BOULEVARD";"0";"N/A";"2";"2";"0";"2";"1";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000190";"4";"CHIRONS ROUTE DES";"0";"N/A";"1";"2";"0";"1";"1";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000191";"4";"AVENUE DE LAUMIERE";"0";"N/A";"2";"3";"0";"1";"0";"0";"1";"";" -1";"2";"0";"1";"30"
"202100000192";"3";"3";"0";"D";" -1";"2";"0";"2";"29";"500";"3";"";" -1";"2";"5";"1";" -1"
"202100000193";"3";"32";"0";"D";" -1";"2";"0";"1";"15";"600";"3";"";" -1";"2";"0";"1";"80"
"202100000194";"4";"N/A";" -1";"N/A";"2";"2";"0";"1";"(1)";"(1)";"2";"";"4";"2";"0";"3";"80"
"202100000195";"3";"15";"0";"D";"2";"2";"0";"1";"27";"800";"1";"";" -1";"1";"4";"6";"50"
